Timestamp,Score,What is your age group?,"How often do you use Buy Now, Pay Later (BNPL) services like Klarna, Afterpay, or Affirm?  ",Have you ever struggled to make a BNPL payment on time?  ,Do you think BNPL is more helpful or harmful to financial well-being?  
3/22/2025 1:34:50,,18 - 24,Rarely (once or twice a year),"Yes, but I managed to pay before the deadline",Helpful – it allows me to manage expenses better
3/22/2025 2:14:43,,18 - 24,Rarely (once or twice a year),"No, I always pay on time",No impact – I would have made the purchase anyway
3/22/2025 7:10:22,,25 - 34,Never,"No, I’ve never used BNPL",Harmful – it encourages overspending and debt
3/22/2025 11:20:09,,35 - 44,Never,"No, I’ve never used BNPL",Harmful – it encourages overspending and debt
3/22/2025 13:40:02,,25 - 34,Never,"No, I’ve never used BNPL",Harmful – it encourages overspending and debt
3/22/2025 15:49:52,,35 - 44,Frequently (multiple times a month),"Yes, I missed a payment and incurred late fees",Helpful – it allows me to manage expenses better
3/22/2025 17:39:30,,45 - 54,Never,"No, I always pay on time",Harmful – it encourages overspending and debt
3/22/2025 18:38:16,,25 - 34,Frequently (multiple times a month),"No, I always pay on time",No impact – I would have made the purchase anyway
3/22/2025 20:26:14,,35 - 44,Never,"No, I’ve never used BNPL",No impact – I would have made the purchase anyway
3/22/2025 23:50:59,,45 - 54,Rarely (once or twice a year),"No, I always pay on time",Harmful – it encourages overspending and debt
3/23/2025 0:07:39,,18 - 24,Never,"No, I’ve never used BNPL",Harmful – it encourages overspending and debt
3/23/2025 0:32:26,,45 - 54,Rarely (once or twice a year),"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 0:33:50,,45 - 54,Rarely (once or twice a year),"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 0:34:56,,45 - 54,Rarely (once or twice a year),"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 0:42:30,,45 - 54,Rarely (once or twice a year),"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 0:45:37,,45 - 54,Never,"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 0:47:05,,45 - 54,Never,"No, I always pay on time",Helpful – it allows me to manage expenses better
3/23/2025 3:04:11,,35 - 44,Never,"No, I’ve never used BNPL",No impact – I would have made the purchase anyway
3/23/2025 11:48:45,,25 - 34,Never,"No, I’ve never used BNPL",No impact – I would have made the purchase anyway
3/23/2025 12:30:09,,18 - 24,Rarely (once or twice a year),"No, I always pay on time",Helpful – it allows me to manage expenses better
